puzzle_id,puzzle_date,puzzle_answer,word_first_use,word_etymology,word_year_accurate,etym_clean,modern_english,obsolete_english,latin,french,iberia,italian,american_european_non_english,native_american,german,dutch,norse,other_germanic,afroasiatic_middle_east,greek,slavic,baltic,celtic,albanian,armenian,tocharian,western_asia,south_central_asia,eastern_asia,oceania
2,2021-06-21,SISSY,1879,sis,True,unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2021-06-22,HUMPH,1803,imitative of a grunt,True,unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,2021-07-30,CRAZY,1582,see craze entry 1,True,unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,2021-08-04,CLUCK,1400,imitative,False,unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
76,2021-09-03,FLICK,1400,imitative,False,unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
82,2021-09-09,BIOME,1916,bi- entry 2 + -ome,True,unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
83,2021-09-10,LAPEL,1789,diminutive of lap entry 1,True,unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
100,2021-09-27,BASIC,1842,base entry 1 + -ic entry 1,True,unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
114,2021-10-11,HYPER,1942,short for hyperactive,True,unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
123,2021-10-20,JAUNT,1592,derivative of jaunt entry 2,True,unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
134,2021-10-31,CLICK,1400,probably imitative,False,unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
139,2021-11-05,BLURT,1573,probably imitative,True,unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
