puzzle_date,puzzle_id,puzzle_answer,word_first_use,word_etymology,word_year_accurate
11/06/2025,1601,GUISE,1200,"Middle English gise, guise , from Anglo-French, of Germanic origin; akin to Old High German wīsa manner  — more at wise",False
11/05/2025,1600,SHORT,1100,"Middle English, from Old English sceort ; akin to Old High German scurz short, Old Norse skortr lack",False
11/04/2025,1599,VENUE,1531,"borrowed from Anglo-French, probably alteration (by assimilation to venue ""arrival, attendance"") of vinné, visné , literally, ""neighborhood, neighbors,"" going back to Vulgar Latin *vīcīnātus , re-formation of Latin vīcīnitās vicinity",True
11/03/2025,1598,AWOKE,-1,unknown,False
11/02/2025,1597,RABID,1594,"Latin rabidus mad, from rabere",True
11/01/2025,1596,MOTEL,1925,blend of motor and hotel,True
10/31/2025,1595,ABHOR,1400,"Middle English abhorren , borrowed from Latin abhorrēre , from ab- ab- + horrēre ""to bristle, shiver, shudder""  — more at horror entry 1",False
10/30/2025,1594,LATHE,1611,probably from Middle English lath supporting stand,True
10/29/2025,1593,GLARE,1200,Middle English glaren ; akin to Old English glæs glass,False
10/28/2025,1592,HOLLY,1100,"Middle English holin, holly , from Old English holen ; akin to Old High German hulis holly, Middle Irish cuilenn",False
10/27/2025,1591,FETID,1400,"Middle English, from Latin foetidus , from foetēre to stink",False
10/26/2025,1590,PLUMP,1569,"Middle English, dull, blunt, from Middle Dutch plomp",True
10/25/2025,1589,GAUGE,1400,"Middle English gauge, gage ""fixed standard of measure,"" borrowed from Anglo-French gauge, gouge ""standard of liquid measure, tax paid to an official who determined the capacity of containers"" (continental Old and Middle French jauge ""graduated rod used for measuring liquid capacity, measurement by such a rod, capacity of a cask""), perhaps going back to Old Low Franconian *galga ""rod, beam,"" going back to Germanic *galgōn ""pole, stake, pole on which a condemned person was hung""; (sense 4) translation of German Massstab — more at gallows entry 1",False
10/24/2025,1588,TUBER,1668,"Latin, swelling, truffle; perhaps akin to Latin tumēre to swell  — more at thumb entry 1",True
10/23/2025,1587,DRILL,1619,Dutch drillen,True
10/22/2025,1586,STUNT,1583,"English dialect stunt stubborn, stunted, abrupt, probably of Scandinavian origin; akin to Old Norse stuttr scant  — more at stint entry 1",True
10/21/2025,1585,DETOX,1973,modern english,True
10/20/2025,1584,LIMBO,1300,"Middle English, from Medieval Latin, ablative of limbus limbo, from Latin, border",False
10/19/2025,1583,IDEAL,1400,"Middle English ydeall , from Late Latin idealis , from Latin idea",False
10/18/2025,1582,HAVEN,1100,"Middle English, from Old English hæfen ; akin to Middle High German habene harbor",False
10/17/2025,1581,GROSS,1300,"Middle English grosse, groce ""large, thick, coarse, not in detail, plain,"" borrowed from Anglo-French gros, grosse ""large, great, fat, pregnant, important, (of flour, salt) coarse"" (also continental Old French), going back to Latin grossus ""thick,"" ""unripe,"" of uncertain origin",False
10/16/2025,1580,CATTY,1598,Malay kati,True
10/15/2025,1579,SPOOF,1889,"Spoof , a hoaxing game invented by Arthur Roberts †1933 English comedian",True
10/14/2025,1578,FORUM,1400,"Latin; akin to Latin foris outside, fores door  — more at door",False
10/13/2025,1577,BEARD,1100,"Middle English berd , from Old English beard ; akin to Old High German bart beard, Latin barba",False
10/12/2025,1576,WOUND,1100,"Middle English, from Old English wund ; akin to Old High German wunta wound",False
10/11/2025,1575,STACK,1300,"Middle English stak , from Old Norse stakkr ; akin to Russian stog stack and probably to Old English staca stake",False
10/10/2025,1574,LEVER,1300,"Middle English, from Anglo-French levier, lever , from lever to raise, from Latin levare , from levis light in weight  — more at light",False
10/09/2025,1573,HARDY,1200,"Middle English hardi , from Anglo-French, from Old French *hardir to make hard, of Germanic origin; akin to Old English heard hard",False
10/08/2025,1572,ANNOY,1300,"Middle English anoien , from Anglo-French anuier, ennoier , from Late Latin inodiare to make loathsome, from Latin in + odium hatred  — more at odium",False
10/07/2025,1571,NYLON,1938,coined word,True
10/06/2025,1570,AMUSE,1400,"Middle French amuser , from Old French, from a- (from Latin ad- ) + muser to muse",False
10/05/2025,1569,PLANE,1604,"Latin planum , from neuter of planus level",True
10/04/2025,1568,RELAY,1400,"Middle English, set of fresh hounds, from relayen",False
10/03/2025,1567,SPASM,1300,"Middle English spasme , from Anglo-French espasme , from Latin spasmus , from Greek spasmos , from span to draw, pull",False
10/02/2025,1566,WIDTH,1570,wide entry 1,True
10/01/2025,1565,SPOIL,1300,"Middle English, from Anglo-French espuiller, espoiller , from Latin spoliare to strip of natural covering, despoil, from spolium skin, hide  — more at spill entry 1",False
09/30/2025,1564,GEESE,-1,unknown,False
09/29/2025,1563,CIVIL,1300,"Middle English, from Middle French, from Latin civilis , from civis — see civic",False
09/28/2025,1562,GOOEY,1901,modern english,True
09/27/2025,1561,FRITZ,1899,origin unknown,True
09/26/2025,1560,DALLY,1400,"Middle English dalyen , from Anglo-French dalier",False
09/25/2025,1559,DRAPE,1847,probably back-formation from drapery,True
09/24/2025,1558,BLUNT,1200,"Middle English blont , of uncertain origin",False
09/23/2025,1557,MOUTH,1100,"Middle English, going back to Old English mūþ, going back to Germanic *munþa- (whence also Old Frisian mūth, mund ""mouth,"" Old Saxon mūth, Middle Dutch mont, Old High German munt, Old Icelandic munnr, Gothic munþs ), going back to dialectal Indo-European *mn̥t-, whence also Welsh mant ""mouth, jaw, mandible,"" Latin mentum ""chin""",False
09/22/2025,1556,QUILL,1400,"Middle English quil hollow reed, bobbin; akin to Middle High German kil large feather",False
09/21/2025,1555,COVEN,1520,"Middle English covin agreement, confederacy, from Anglo-French covine , from Medieval Latin convenium agreement, from Latin convenire to agree  — more at convenient",True
09/20/2025,1554,DEFER,1300,"Middle English differren, deferren, borrowed from Anglo-French differer, borrowed (with conjugational change) from Latin differre ""to carry away in varying directions, spread abroad, postpone, delay, be unlike or distinct""  — more at differ",False
09/19/2025,1553,LATER,1200,see late entry 1,False
09/18/2025,1552,KNIFE,1100,"Middle English knif , from Old English cnīf , perhaps from Old Norse knīfr ; akin to Middle Low German knīf knife",False
09/17/2025,1551,TEETH,-1,unknown,False
09/16/2025,1550,LEFTY,1886,modern english,True
09/15/2025,1549,ALONG,1100,"Middle English, from Old English andlang , from and- against + lang long  — more at ante-",False
09/14/2025,1548,NOISY,1675,early modern english,True
09/13/2025,1547,NADIR,1400,"Middle English, from Middle French, from Arabic naḍhīr opposite",False
09/12/2025,1546,THROB,1400,Middle English throbben,False
09/11/2025,1545,CHAIR,1300,"Middle English chaiere , from Anglo-French, from Latin cathedra , from Greek kathedra , from kata- cata- + hedra seat  — more at sit",False
09/10/2025,1544,POUTY,1799,early modern english,True
09/09/2025,1543,TRICK,1400,"Middle English trikke , from Anglo-French *trik , from trikier to deceive, cheat, from Vulgar Latin *triccare , alteration of Latin tricari to behave evasively, shuffle, from tricae complications, trifles",False
09/08/2025,1542,CHIRP,1566,imitative,True
